Time, Preassure, Temperature, Altitude
118372,101214.48,19.50,9.21
118884,101214.64,19.50,9.19
119395,101214.58,19.49,9.20
119907,101214.47,19.49,9.21
120419,101214.80,19.49,9.18
120930,101215.11,19.49,9.15
121445,101215.11,19.49,9.15
121957,101214.70,19.49,9.19
122469,101214.85,19.49,9.17
122980,101214.95,19.49,9.17
123492,101215.27,19.49,9.14
124004,101214.84,19.48,9.18
124517,101214.58,19.48,9.20
125029,101214.48,19.48,9.21
125541,101214.80,19.48,9.18
126052,101214.96,19.48,9.17
126564,101214.73,19.48,9.18
127076,101214.89,19.48,9.17
127588,101214.63,19.47,9.19
128099,101214.95,19.47,9.17
128611,101214.53,19.47,9.20
129123,101214.69,19.47,9.19
129634,101215.02,19.47,9.16
130146,101214.75,19.47,9.18
130661,101214.52,19.47,9.20
131172,101214.36,19.47,9.22
131684,101214.36,19.47,9.22
132196,101214.26,19.46,9.22
132708,101214.58,19.46,9.20
133219,101214.31,19.46,9.22
133731,101214.48,19.46,9.21
134243,101214.22,19.46,9.23
134755,101214.38,19.46,9.21
135266,101214.70,19.46,9.19
135778,101214.47,19.46,9.21
136290,101214.78,19.46,9.18
136801,101214.69,19.45,9.19
137313,101215.01,19.45,9.16
137825,101214.75,19.45,9.18
138337,101215.07,19.45,9.16
138848,101214.97,19.45,9.16
139363,101215.28,19.45,9.14
139874,101215.45,19.45,9.12
140386,101215.77,19.45,9.10
140897,101215.70,19.45,9.10
141409,101215.70,19.45,9.10
141921,101215.70,19.45,9.10
142432,101215.86,19.45,9.09
142944,101215.44,19.44,9.13
143455,101215.59,19.44,9.11
143967,101215.44,19.44,9.13
144478,101215.02,19.44,9.16
144990,101215.02,19.44,9.16
145502,101215.34,19.44,9.13
146013,101215.08,19.44,9.16
146525,101215.23,19.44,9.14
147036,101215.39,19.44,9.13
147548,101215.55,19.44,9.12
148059,101215.48,19.44,9.12
148574,101215.80,19.44,9.10
149085,101215.80,19.44,9.10
149597,101215.39,19.43,9.13
150108,101215.70,19.43,9.10
150620,101215.87,19.43,9.09
151131,101215.61,19.43,9.11
151643,101215.61,19.43,9.11
152154,101215.77,19.43,9.10
152666,101215.92,19.43,9.09
153178,101215.70,19.43,9.10
153689,101216.02,19.43,9.08
154201,101216.17,19.43,9.06
154712,101216.17,19.43,9.06
155224,101215.91,19.43,9.09
155735,101216.08,19.43,9.07
156247,101216.23,19.43,9.06
156759,101216.14,19.42,9.07
157270,101216.30,19.42,9.05
157780,101216.45,19.42,9.04
158291,101216.36,19.42,9.05
158803,101216.52,19.42,9.04
159315,101216.13,19.42,9.07
159827,101216.13,19.42,9.07
160338,101216.28,19.42,9.06
160850,101215.86,19.42,9.09
161362,101215.86,19.42,9.09
161873,101215.86,19.42,9.09
162385,101216.19,19.42,9.06
162897,101215.77,19.41,9.10
163409,101215.92,19.41,9.09
163920,101215.66,19.41,9.11
164432,101215.66,19.41,9.11
164944,101215.66,19.41,9.11
165456,101215.83,19.41,9.09
165967,101215.59,19.41,9.11
166482,101216.08,19.41,9.07
166994,101215.71,19.40,9.10
167505,101215.77,19.40,9.10
168017,101215.70,19.40,9.10
168529,101215.76,19.40,9.10
169041,101215.82,19.39,9.09
169552,101215.72,19.39,9.10
170064,101215.65,19.39,9.11
170576,101217.73,19.39,8.93
171087,101217.47,19.39,8.96
171599,101217.05,19.38,8.99
172111,101217.05,19.38,8.99
172623,101217.11,19.38,8.99
173134,101216.72,19.38,9.02
173646,101216.30,19.38,9.05
174158,101215.88,19.37,9.09
174669,101215.13,19.37,9.15
175181,101214.09,19.37,9.24
175696,101213.52,19.37,9.29
176207,101212.77,19.36,9.35
176719,101212.06,19.36,9.41
177231,101211.16,19.36,9.48
177743,101210.67,19.36,9.52
178254,101210.25,19.36,9.56
178766,101208.86,19.35,9.67
179278,101208.31,19.35,9.72
179789,101207.89,19.35,9.75
180301,101207.31,19.35,9.80
180813,101207.05,19.34,9.82
181325,101208.27,19.34,9.72
181836,101208.27,19.34,9.72
182348,101207.68,19.34,9.77
182860,101206.99,19.33,9.83
183372,101206.92,19.33,9.84
183883,101207.47,19.33,9.79
184398,101207.36,19.33,9.80
184910,101207.10,19.32,9.82
185421,101207.36,19.32,9.80
185933,101207.41,19.32,9.79
186445,101206.89,19.31,9.84
186957,101206.66,19.31,9.86
187470,101206.88,19.31,9.84
187982,101207.09,19.31,9.82
188494,101206.45,19.30,9.88
189005,101206.19,19.30,9.90
189517,101205.92,19.30,9.92
190029,101205.27,19.29,9.97
190541,101205.02,19.29,9.99
191052,101204.91,19.29,10.00
191564,101205.06,19.29,9.99
192076,101205.06,19.29,9.99
192588,101204.68,19.28,10.02
193099,101204.26,19.28,10.06
193614,101203.67,19.28,10.11
194125,101203.09,19.28,10.15
194637,101202.54,19.27,10.20
195149,101201.80,19.27,10.26
195661,101201.31,19.27,10.30
196172,101200.09,19.27,10.40
196684,101198.70,19.27,10.52
197196,101197.74,19.27,10.60
197708,101196.39,19.26,10.71
198219,101194.52,19.26,10.87
198731,101192.97,19.26,11.00
199243,101191.69,19.26,11.11
199755,101189.34,19.26,11.30
200266,101187.03,19.25,11.49
200778,101185.00,19.25,11.66
201290,101182.81,19.25,11.84
201801,101182.81,19.25,12.05
202316,101180.30,19.25,12.05
202828,101177.83,19.24,12.26
203340,101175.64,19.24,12.44
203851,101172.65,19.24,12.69
204363,101169.76,19.24,12.93
204875,101166.32,19.24,13.22
205387,101163.27,19.24,13.47
205899,101159.64,19.23,13.78
206410,101155.52,19.23,14.12
206922,101151.83,19.23,14.43
207434,101147.56,19.23,14.78
207946,101143.38,19.23,15.13
208457,101138.98,19.23,15.50
208969,101134.49,19.23,15.87
209481,101130.00,19.23,16.25
209992,101125.08,19.22,16.66
210504,101120.42,19.22,17.05
211019,101115.45,19.22,17.46
211530,101110.48,19.22,17.88
212042,101110.48,19.22,17.88
212553,101104.77,19.22,18.35
213065,101099.63,19.22,18.78
213577,101094.00,19.22,19.25
214088,101088.29,19.22,19.73
214600,101082.44,19.22,20.21
215111,101076.67,19.22,20.70
215623,101070.89,19.22,21.18
216135,101064.37,19.21,21.72
216646,101058.01,19.21,22.25
217158,101052.07,19.21,22.75
217669,101045.39,19.21,23.31
218181,101039.13,19.21,23.83
218693,101033.03,19.21,24.34
219204,101026.61,19.21,24.87
219718,101019.65,19.21,25.45
220230,101013.23,19.21,25.99
220742,101006.33,19.21,26.57
221253,100999.42,19.21,27.14
221765,100992.69,19.21,27.70
222277,100992.69,19.21,27.70
222788,100985.95,19.21,28.27
223300,100978.89,19.21,28.86
223811,100971.72,19.20,29.45
224323,100964.82,19.20,30.03
224834,100958.24,19.20,30.58
225346,100952.31,19.20,31.08
225857,100946.69,19.20,31.55
226369,100941.39,19.20,31.99
226881,100936.27,19.20,32.42
227392,100931.61,19.20,32.80
227904,100927.44,19.20,33.15
228418,100923.27,19.20,33.50
228930,100919.41,19.20,33.82
229442,100915.78,19.20,34.13
229954,100912.41,19.20,34.41
230465,100909.05,19.20,34.69
230977,100905.83,19.20,34.96
231489,100902.30,19.20,35.25
232001,100902.30,19.20,35.25
232513,100898.77,19.20,35.55
233024,100894.66,19.20,35.89
233536,100890.81,19.20,36.21
234048,100885.92,19.20,36.62
234559,100881.43,19.20,37.00
235071,100876.52,19.19,37.41
235583,100871.70,19.19,37.81
236095,100866.57,19.19,38.24
236606,100861.11,19.19,38.69
237121,100854.92,19.19,39.21
237633,100848.81,19.19,39.72
238145,100842.56,19.19,40.24
238657,100836.14,19.19,40.78
239168,100829.56,19.19,41.33
239680,100822.56,19.19,41.92
240192,100815.66,19.19,42.49
240704,100808.45,19.19,43.10
241215,100800.83,19.19,43.73
241727,100793.30,19.19,44.36
242239,100793.30,19.19,44.36
242751,100785.43,19.19,45.02
243262,100777.41,19.19,45.69
243774,100768.97,19.18,46.40
244286,100760.94,19.18,47.07
244798,100752.34,19.18,47.79
245309,100744.00,19.18,48.48
245824,100735.23,19.18,49.22
246336,100726.56,19.18,49.94
246847,100718.06,19.18,50.65
247359,100709.01,19.18,51.41
247871,100700.50,19.18,52.12
248383,100691.91,19.17,52.84
248894,100684.20,19.17,53.49
249406,100676.40,19.17,54.14
249920,100669.82,19.17,54.69
250432,100663.41,19.17,55.23
250944,100657.63,19.17,55.71
251455,100651.69,19.17,56.21
251967,100646.08,19.17,56.68
252479,100646.08,19.17,56.68
252991,100640.46,19.17,57.15
253502,100634.84,19.17,57.62
254014,100628.68,19.17,58.14
254526,100622.75,19.17,58.63
255035,100616.39,19.17,59.16
255547,100609.70,19.16,59.72
256059,100603.77,19.16,60.22
256571,100597.09,19.16,60.78
257082,100590.45,19.16,61.34
257594,100584.67,19.16,61.82
258106,100579.22,19.16,62.28
258618,100574.25,19.16,62.69
259129,100569.44,19.16,63.10
259641,100564.94,19.16,63.47
260153,100560.34,19.16,63.86
260665,100556.66,19.16,64.17
261176,100553.29,19.16,64.45
261688,100549.92,19.16,64.73
262200,100549.92,19.16,64.73
262712,100546.45,19.15,65.02
263223,100543.56,19.15,65.26
263738,100541.00,19.15,65.48
264250,100538.02,19.15,65.73
264761,100535.61,19.15,65.93
265273,100533.30,19.15,66.12
265785,100531.84,19.15,66.25
266297,100529.50,19.15,66.44
266808,100527.32,19.14,66.63
267320,100526.09,19.14,66.73
267832,100524.75,19.14,66.84
268343,100523.37,19.14,66.96
268855,100522.14,19.13,67.06
269367,100520.77,19.13,67.17
269879,100518.67,19.13,67.35
270391,100518.22,19.12,67.39
270902,100517.00,19.12,67.49
271414,100516.51,19.12,67.53
271926,100514.73,19.11,67.68
272440,100514.73,19.11,67.68
272952,100513.36,19.11,67.79
273464,100512.20,19.10,67.89
273975,100510.53,19.10,68.03
274487,100508.89,19.10,68.17
274999,100507.02,19.09,68.33
275511,100505.35,19.09,68.47
276022,100503.55,19.09,68.62
276534,100501.84,19.08,68.76
277046,100499.59,19.08,68.95
277558,100497.58,19.08,69.12
278069,100495.39,19.07,69.30
278581,100492.66,19.07,69.53
279093,100489.83,19.07,69.77
279605,100487.00,19.06,70.00
280116,100483.79,19.06,70.27
280628,100480.48,19.06,70.55
281142,100476.86,19.05,70.85
281654,100472.68,19.05,71.20
282166,100472.68,19.05,71.20
282677,100469.22,19.05,71.49
283189,100465.03,19.04,71.85
283700,100460.77,19.04,72.20
284212,100456.50,19.04,72.56
284723,100451.84,19.03,72.95
285235,100447.25,19.03,73.34
285747,100442.66,19.03,73.72
286258,100437.69,19.02,74.14
286770,100432.62,19.02,74.56
287281,100427.70,19.02,74.98
287793,100422.67,19.02,75.40
288305,100417.34,19.01,75.84
288816,100412.11,19.01,76.28
289328,100406.91,19.01,76.72
289842,100400.94,19.00,77.22
290353,100395.70,19.00,77.66
290865,100390.50,19.00,78.10
291377,100384.53,18.99,78.60
291888,100384.53,18.99,78.60
292400,100378.66,18.99,79.09
292911,100372.56,18.98,79.60
293423,100366.53,18.98,80.11
293934,100360.53,18.98,80.61
294446,100353.77,18.97,81.18
294958,100347.25,18.97,81.72
295469,100340.34,18.97,82.30
295981,100333.83,18.96,82.85
296492,100326.93,18.96,83.43
297004,100320.25,18.96,83.99
297515,100312.84,18.95,84.61
298027,100306.20,18.95,85.17
298542,100298.47,18.94,85.82
299053,100292.12,18.94,86.35
299565,100285.95,18.94,86.87
300077,100279.67,18.93,87.40
300589,100274.44,18.93,87.84
301100,100269.56,18.93,88.25
301612,100264.81,18.93,88.64
302124,100264.81,18.93,88.64
302635,100260.38,18.92,89.02
303147,100256.47,18.92,89.34
303659,100252.84,18.92,89.65
304171,100249.22,18.92,89.95
304682,100245.75,18.91,90.24
305194,100242.87,18.91,90.49
305706,100239.75,18.91,90.75
306218,100237.09,18.91,90.97
306729,100234.59,18.91,91.18
307244,100232.08,18.90,91.39
307756,100229.94,18.90,91.57
308267,100227.91,18.90,91.74
308779,100226.05,18.90,91.90
309291,100223.87,18.89,92.08
309803,100222.36,18.89,92.21
310314,100222.52,18.89,92.20
310826,100223.86,18.89,92.08
311338,100226.33,18.89,91.88
311850,100226.33,18.89,91.88
312363,100230.34,18.89,91.54
312875,100235.14,18.88,91.14
313387,100241.40,18.88,90.61
313898,100248.36,18.88,90.03
314410,100256.70,18.88,89.33
314922,100265.73,18.88,88.57
315433,100275.84,18.88,87.72
315948,100286.48,18.87,86.82
316460,100297.64,18.87,85.89
316972,100310.15,18.87,84.84
317483,100322.88,18.87,83.77
317995,100336.09,18.87,82.66
318507,100349.78,18.86,81.51
319019,100363.98,18.86,80.32
319530,100379.06,18.86,79.05
320042,100394.36,18.86,77.77
320554,100410.55,18.86,76.41
321066,100426.81,18.86,75.05
321577,100443.42,18.85,73.66
322089,100443.42,18.85,73.66
322601,100461.38,18.85,72.15
323113,100479.08,18.85,70.67
323624,100497.09,18.85,69.16
324136,100515.70,18.85,67.60
324651,100534.95,18.85,65.99
325162,100554.09,18.85,64.38
325674,100573.58,18.84,62.75
326186,100593.63,18.84,61.07
326698,100613.41,18.84,59.41
327210,100633.30,18.84,57.75
327721,100653.24,18.84,56.08
328233,100673.61,18.84,54.37
328745,100694.14,18.84,52.66
329257,100714.41,18.84,50.96
329768,100735.57,18.84,49.19
330280,100756.73,18.84,47.42
330792,100777.67,18.83,45.67
331304,100799.33,18.83,43.86
331815,100799.33,18.83,43.86
332327,100820.81,18.83,42.06
332839,100841.88,18.83,40.30
333354,100863.38,18.83,38.50
333865,100884.38,18.83,36.75
334377,100903.69,18.83,35.14
334889,100922.13,18.83,33.60
335400,100939.61,18.83,32.14
335912,100955.81,18.83,30.78
336424,100971.05,18.83,29.51
336936,100985.16,18.83,28.33
337447,100998.63,18.83,27.21
337959,101011.14,18.83,26.16
338471,101022.42,18.83,25.22
338983,101033.49,18.83,24.30
339494,101043.92,18.83,23.43
340006,101053.54,18.83,22.63
340518,101062.13,18.82,21.91
341030,101071.02,18.83,21.17
341541,101078.88,18.83,20.51
342056,101078.88,18.83,20.51
342568,101086.26,18.83,19.90
343080,101093.31,18.83,19.31
343591,101099.50,18.82,18.79
344103,101105.59,18.82,18.28
344615,101111.52,18.82,17.79
345127,101116.98,18.82,17.33
345638,101122.11,18.82,16.91
346150,101127.08,18.82,16.49
346662,101131.58,18.82,16.12
347173,101135.58,18.82,15.78
347685,101139.17,18.82,15.48
348197,101142.70,18.82,15.19
348709,101146.07,18.82,14.91
349220,101149.12,18.82,14.65
349732,101152.16,18.82,14.40
350244,101154.89,18.82,14.17
350759,101157.45,18.82,13.96
351270,101160.19,18.82,13.73
351782,101160.19,18.82,13.73
352294,101162.43,18.82,13.54
352805,101164.84,18.82,13.34
353317,101166.92,18.82,13.17
353828,101168.68,18.82,13.02
354340,101170.45,18.82,12.88
354851,101172.21,18.82,12.73
355363,101173.66,18.82,12.61
355875,101174.84,18.82,12.51
356386,101176.44,18.82,12.38
356898,101177.88,18.82,12.26
357409,101179.75,18.82,12.10
357921,101181.20,18.82,11.98
358433,101182.64,18.82,11.86
358944,101183.76,18.82,11.77
359458,101184.72,18.82,11.69
359970,101185.84,18.82,11.59
360482,101186.97,18.82,11.50
360993,101187.77,18.82,11.43
361505,101188.57,18.82,11.37
362016,101188.57,18.82,11.37
362528,101188.63,18.82,11.36
363039,101189.59,18.82,11.28
363551,101190.23,18.82,11.23
364063,101190.71,18.82,11.19
364574,101191.52,18.82,11.12
365086,101192.00,18.82,11.08
365597,101192.64,18.82,11.03
366109,101192.70,18.82,11.02
366620,101193.18,18.82,10.98
367132,101194.08,18.82,10.91
367643,101194.14,18.82,10.90
368158,101194.46,18.82,10.87
368670,101194.78,18.82,10.85
369181,101195.27,18.82,10.81
369693,101195.74,18.82,10.77
370205,101196.06,18.82,10.74
370717,101196.55,18.82,10.70
371228,101196.87,18.82,10.67
371740,101196.87,18.82,10.67
372252,101197.19,18.82,10.65
372763,101197.67,18.82,10.61
373275,101197.44,18.81,10.63
373787,101197.44,18.81,10.63
374299,101197.59,18.81,10.61
374812,101197.76,18.81,10.60
375324,101198.08,18.81,10.57
375836,101198.24,18.81,10.56
376347,101198.40,18.81,10.55
376862,101198.14,18.81,10.57
377374,101198.30,18.81,10.55
377885,101198.63,18.81,10.53
378397,101198.78,18.81,10.51
378909,101198.52,18.81,10.54
379421,101198.78,18.81,10.51
379932,101198.52,18.81,10.54
380444,101198.67,18.81,10.52
380956,101199.00,18.81,10.50
381467,101199.16,18.81,10.48
381979,101199.16,18.81,10.48
382491,101199.32,18.81,10.47
383003,101198.89,18.81,10.50
383514,101199.05,18.81,10.49
384026,101199.22,18.81,10.48
384538,101199.38,18.81,10.46
385050,101199.53,18.81,10.45
385561,101199.70,18.81,10.44
386071,101200.02,18.81,10.41
386583,101199.95,18.80,10.42
387094,101199.95,18.80,10.42
387606,101200.11,18.80,10.40
388118,101200.27,18.80,10.39
388629,101200.27,18.80,10.39
389141,101200.43,18.80,10.38
389653,101200.43,18.80,10.38
390165,101200.27,18.80,10.39
390676,101200.27,18.80,10.39
391188,101200.27,18.80,10.39
391700,101200.27,18.80,10.39
392211,101199.84,18.80,10.43
392723,101200.01,18.80,10.41
393235,101200.01,18.80,10.41
393747,101200.17,18.80,10.40
394258,101200.59,18.80,10.36
394773,101200.33,18.80,10.38
395285,101200.33,18.80,10.38
395796,101200.65,18.80,10.36
396308,101200.81,18.80,10.34
396820,101200.81,18.80,10.34
397331,101200.97,18.80,10.33
397843,101200.81,18.80,10.34
398355,101200.81,18.80,10.34
398867,101200.97,18.80,10.33
399378,101200.39,18.80,10.38
399890,101200.81,18.80,10.34
400402,101200.55,18.80,10.37
400914,101200.55,18.80,10.37
401425,101200.55,18.80,10.37
401937,101200.71,18.80,10.35
402449,101200.71,18.80,10.35
402960,101200.71,18.80,10.35
403475,101200.88,18.80,10.34
403987,101200.71,18.80,10.35
404498,101200.71,18.80,10.35
405010,101200.28,18.80,10.39
405522,101200.71,18.80,10.35
406034,101201.03,18.80,10.33
406545,101200.77,18.80,10.35
407057,101200.77,18.80,10.35
407569,101200.92,18.80,10.34
408081,101201.19,18.80,10.31
408592,101200.77,18.80,10.35
409104,101201.19,18.80,10.31
409616,101201.19,18.80,10.31
410127,101201.03,18.80,10.33
410639,101201.03,18.80,10.33
411151,101201.19,18.80,10.31
411663,101201.19,18.80,10.31
412177,101201.35,18.80,10.30
412689,101201.52,18.80,10.29
413201,101201.52,18.80,10.29
413712,101201.67,18.80,10.27
414224,101201.83,18.80,10.26
414736,101201.41,18.80,10.30
415247,101201.41,18.80,10.30
415759,101201.56,18.80,10.28
416271,101201.56,18.80,10.28
416783,101201.73,18.80,10.27
417294,101201.73,18.80,10.27
417806,101201.34,18.79,10.30
418318,101201.50,18.79,10.29
418830,101201.50,18.79,10.29
419341,101201.50,18.79,10.29
419853,101201.50,18.79,10.29
420365,101201.50,18.79,10.29
420879,101201.34,18.79,10.30
421391,101201.50,18.79,10.29
421902,101201.50,18.79,10.29
422414,101201.08,18.79,10.32
422925,101201.34,18.79,10.30
423437,101201.17,18.79,10.31
423949,101200.76,18.79,10.35
424460,101200.76,18.79,10.35
424972,101200.76,18.79,10.35
425483,101200.76,18.79,10.35
425995,101200.76,18.79,10.35
426506,101200.91,18.79,10.34
427018,101200.91,18.79,10.34
427530,101201.08,18.79,10.32
428041,101201.08,18.79,10.32
428553,101201.23,18.79,10.31
429064,101201.40,18.79,10.30
429579,101201.55,18.79,10.28
430090,101201.40,18.79,10.30
430602,101200.98,18.79,10.33
431113,101200.98,18.79,10.33
431625,101200.98,18.79,10.33
432136,101200.98,18.79,10.33
432648,101201.40,18.79,10.30
433160,101201.55,18.79,10.28
433671,101201.55,18.79,10.28
434183,101201.14,18.79,10.32
434694,101200.98,18.79,10.33
435206,101201.40,18.79,10.30
435717,101200.98,18.79,10.33
436229,101200.98,18.79,10.33
436741,101201.14,18.79,10.32
437252,101201.14,18.79,10.32
437766,101201.30,18.79,10.30
438280,101201.14,18.79,10.32
438792,101201.14,18.79,10.32
439303,101201.30,18.79,10.30
439815,101201.72,18.79,10.27
440327,101201.45,18.79,10.29
440839,101201.30,18.79,10.30
441350,101201.30,18.79,10.30
441862,101201.30,18.79,10.30
442374,101201.30,18.79,10.30
442886,101201.14,18.79,10.32
443397,101201.30,18.79,10.30
443909,101201.45,18.79,10.29
444421,101201.30,18.79,10.30
444933,101201.30,18.79,10.30
445445,101201.30,18.79,10.30
445956,101201.30,18.79,10.30
446468,101201.14,18.79,10.32
